train_loss,val_loss,train_ADE,val_ADE,train_FDE,val_FDE
0.10567564605498,0.1818943511847223,0.4341258338601342,0.94155793399662,0.2924788050566534,1.0272025740493118
0.0574736061736914,0.1843159022940014,0.3054198388400863,0.9453307590186624,0.1813786750703517,1.0687807246396464
0.0502738321155452,0.1277094331696838,0.2914810028596148,0.7465013489632213,0.1746551663178514,0.847434949485779
0.0463948000453223,0.1220887753213417,0.2865682409662894,0.7242680601599223,0.175439673767833,0.8335741682048848
0.0441922387620941,0.107018252766357,0.2852211475525908,0.6763567470532295,0.1773970277637692,0.8008176701094781
0.04274454870554,0.1060197913986537,0.2859696107567089,0.6662773488402334,0.1813263987553698,0.8190122918422225
0.0416557026854023,0.0937917072902605,0.2872408551355671,0.6326615732491476,0.185920407990198,0.7707363044538142
0.0411264117835429,0.0919029683581063,0.2899534020045053,0.6353162830531713,0.1899082538272468,0.7642763219832577
0.0411057352716029,0.0877769601746061,0.2944587980785148,0.6159538122890099,0.1953449416409446,0.739109732910101
0.0410526310623202,0.0885706028310975,0.2985140379196165,0.6217996190103252,0.2010123901240141,0.7689699235816156
0.0410497879394966,0.0782196995617066,0.3028351351534186,0.5824226385560338,0.2074706539180624,0.7001719061506305
0.0412899954092392,0.0795048671288625,0.3073416403077225,0.594088365328944,0.2132373626102651,0.719246658564101
0.0417068791539244,0.0770244322048166,0.3135659459082077,0.5745910776088757,0.2211656865095342,0.6901150234053977
0.0421914499519358,0.0789067525911634,0.31990815637715,0.5914445064483839,0.2301462823505288,0.7751743837987627
0.0425931871295775,0.0785544845476651,0.3257702913532376,0.5805818920420431,0.2394719487205643,0.7063646813279817
0.0432011096796298,0.0729421962809126,0.3323994147232508,0.5716736086570118,0.2478195063601954,0.68816631667372
0.0438404426164944,0.0737634320199498,0.3396838976020795,0.5588427976054704,0.2590726341517887,0.6724144956097872
0.0445206846020786,0.0704018646744463,0.3473553327212373,0.5463520937094793,0.2712414664688762,0.6530981162196803
0.0453429360843739,0.0700459314967023,0.3558646573167153,0.5452588575554266,0.2813032469958836,0.65133177866864
0.046308072439533,0.0692562498152256,0.3653303992466188,0.5481930910705225,0.297312803970417,0.6561806022384747
0.04721871303822462,0.06706473142758243,0.3741036029015925,0.5382160074155813,0.3117190304754811,0.6374008313412232
0.04827732159717369,0.06799812255672331,0.3843361570708337,0.5350861382502148,0.32960639831533456,0.6283790684889835
0.04899229813054104,0.06752082977465727,0.3919251954488678,0.5390261392931451,0.3433248319382222,0.635869535793002
0.0504268108850796,0.06558094805644264,0.4050128779020856,0.5268925562029109,0.36503852760367944,0.6178290649912286
0.05160903468469655,0.06400260044340858,0.4163490671502451,0.5188033112007127,0.3869882920476667,0.6048550076560618
0.052853304950635394,0.06325266088978009,0.4285406075522034,0.5127796161107249,0.4092370813644567,0.5933368648700322
0.054198544448586725,0.0628404247596388,0.4412766363758826,0.5177371142019921,0.4377177146804338,0.6088329406820285
0.0556249551543283,0.061586229410826775,0.4545046839059161,0.5143831570020724,0.464639101500597,0.5937509916764978
0.05705573574584432,0.061300062281705286,0.4682928826307717,0.5008287717814742,0.4969469015702367,0.5693769058744846
0.058540894799657024,0.06065781938934495,0.4826222176714462,0.5004337929380849,0.5292714118706373,0.5739409476643165
0.060041745848896384,0.05997562839887702,0.49716967465083245,0.4917350944364422,0.5636192199863563,0.5521012207560468
0.05940074530438667,0.05878523243623188,0.49280956046915936,0.4875444012472408,0.555241954227209,0.5461958800006216
0.058800696876127954,0.05835933684859947,0.4887224807793057,0.48402649028319616,0.5473606569519506,0.5399614967656939
0.058258022813349374,0.05801593401772928,0.484881764834657,0.4836988264260844,0.5400688720786414,0.5394303742164865
0.05775572789766336,0.05743929271385861,0.48149634333304775,0.47745584503988203,0.5334712587403078,0.526627128458984
0.057300767760283935,0.05692478204338882,0.4783242529479766,0.4754224051942355,0.5280948248784447,0.5230885271115471
0.056930262834756294,0.056701066221342036,0.47565138764453974,0.47377929312985345,0.5225450198381447,0.5182566641737286
0.0565613931178617,0.05769370230427968,0.4730113343773734,0.47886426277906297,0.5172703406951651,0.5287033557277478
0.05619762004635743,0.05662440399429417,0.47057464323107917,0.47378973635040694,0.5131627452119453,0.5142701547331703
0.05587221681812237,0.05628618068283249,0.46822433301149424,0.4697001081387947,0.5083098202776717,0.5075142164063858
0.055579363357587196,0.05632127331837366,0.466192539362712,0.46912337300648804,0.5048850205420999,0.5102468004011047
