className,requestedSamples,evaluatedSamples,adeMeters,fdeMeters
straight,1000,1000,0.2498218952678144,1.3237742017144338
right,1000,1000,0.37128391036856917,2.1967655054051427
left,1000,1000,0.3823433784302324,2.239923297767527
s,1000,1000,0.3311477959062904,1.7684453893918544
still,1000,1000,0.15109181936457752,0.9487863752399571
