train_loss,val_loss
1.0629004244888145,0.29460365331172944
0.7446722720830279,0.5069995646029711
0.6570300139173955,0.25010490395128726
0.6116074517356501,0.4707600271850824
0.5356638920273961,0.38724487924575807
0.5250355897354794,0.22985093393921852
0.47030391763088125,0.3575967561900616
0.46071370673184736,0.33066228052973745
0.4585307543233816,0.48528157725930215
0.41733682529734256,0.2888968311548233
0.4161563717090583,0.4108380421102047
0.3966376447943203,0.43708544567227364
0.3917819854022094,0.45639080435037616
0.38695687083679076,0.40471888956427576
0.3709537495428819,0.32890377748012545
0.3543809075562895,0.43969147130846975
